model,layer,item,speaker_mode,context_mode,distance_mode,feature_size,score
hubert_ctc100h,8,phoneme-dev-other,within,within,cosine,0.02,0.0332568697631359
hubert_ctc100h,8,triphone-dev-clean,across,within,cosine,0.02,0.0427155941724777
hubert_ctc100h,8,triphone-dev-clean,within,within,cosine,0.02,0.0373684577643871
hubert_ctc100h,8,triphone-dev-other,across,within,cosine,0.02,0.0607678070664405
hubert_ctc100h,8,triphone-dev-other,within,within,cosine,0.02,0.0445308089256286
hubert_ctc100h,9,phoneme-dev-clean,across,any,cosine,0.02,0.0747299790382385
hubert_ctc100h,9,phoneme-dev-clean,across,within,cosine,0.02,0.0229350961744785
hubert_ctc100h,9,phoneme-dev-clean,within,any,cosine,0.02,0.0733405947685241
hubert_ctc100h,9,phoneme-dev-clean,within,within,cosine,0.02,0.0190104395151138
hubert_ctc100h,9,phoneme-dev-other,across,any,cosine,0.02,0.0970101505517959
hubert_ctc100h,9,phoneme-dev-other,across,within,cosine,0.02,0.0496785081923007
hubert_ctc100h,9,phoneme-dev-other,within,any,cosine,0.02,0.0921909362077713
hubert_ctc100h,9,phoneme-dev-other,within,within,cosine,0.02,0.0337540209293365
hubert_ctc100h,9,triphone-dev-clean,across,within,cosine,0.02,0.0470267422497272
hubert_ctc100h,9,triphone-dev-clean,within,within,cosine,0.02,0.0408326461911201
hubert_ctc100h,9,triphone-dev-other,across,within,cosine,0.02,0.061793316155672
hubert_ctc100h,9,triphone-dev-other,within,within,cosine,0.02,0.0464845113456249
hubert_ctc100h,10,phoneme-dev-clean,across,any,cosine,0.02,0.037293467670679
hubert_ctc100h,10,phoneme-dev-clean,across,within,cosine,0.02,0.0144844455644488
hubert_ctc100h,10,phoneme-dev-clean,within,any,cosine,0.02,0.0369026064872741
hubert_ctc100h,10,phoneme-dev-clean,within,within,cosine,0.02,0.0110196666792035
hubert_ctc100h,10,phoneme-dev-other,across,any,cosine,0.02,0.0559627823531627
hubert_ctc100h,10,phoneme-dev-other,across,within,cosine,0.02,0.0383640117943286
hubert_ctc100h,10,phoneme-dev-other,within,any,cosine,0.02,0.0535548813641071
hubert_ctc100h,10,phoneme-dev-other,within,within,cosine,0.02,0.0259555447846651
hubert_ctc100h,10,triphone-dev-clean,across,within,cosine,0.02,0.0359195359051227
hubert_ctc100h,10,triphone-dev-clean,within,within,cosine,0.02,0.0316196754574775
hubert_ctc100h,10,triphone-dev-other,across,within,cosine,0.02,0.0496817789971828
hubert_ctc100h,10,triphone-dev-other,within,within,cosine,0.02,0.0367212109267711
hubert_ctc100h,11,phoneme-dev-clean,across,any,cosine,0.02,0.0207800697535276
hubert_ctc100h,11,phoneme-dev-clean,across,within,cosine,0.02,0.0096007697284221
hubert_ctc100h,11,phoneme-dev-clean,within,any,cosine,0.02,0.0204779766499996
hubert_ctc100h,11,phoneme-dev-clean,within,within,cosine,0.02,0.0067358119413256
hubert_ctc100h,11,phoneme-dev-other,across,any,cosine,0.02,0.0359385758638381
hubert_ctc100h,11,phoneme-dev-other,across,within,cosine,0.02,0.0324190184473991
hubert_ctc100h,11,phoneme-dev-other,within,any,cosine,0.02,0.0341484136879444
hubert_ctc100h,11,phoneme-dev-other,within,within,cosine,0.02,0.0221535544842481
hubert_ctc100h,11,triphone-dev-clean,across,within,cosine,0.02,0.0226849932223558
hubert_ctc100h,11,triphone-dev-clean,within,within,cosine,0.02,0.0192905645817518
hubert_ctc100h,11,triphone-dev-other,across,within,cosine,0.02,0.0365766808390617
hubert_ctc100h,11,triphone-dev-other,within,within,cosine,0.02,0.0264111906290054
hubert_ctc100h,12,phoneme-dev-clean,across,any,cosine,0.02,0.0257955640554428
hubert_ctc100h,12,phoneme-dev-clean,across,within,cosine,0.02,0.0133197056129574
hubert_ctc100h,12,phoneme-dev-clean,within,any,cosine,0.02,0.0251013487577438
hubert_ctc100h,12,phoneme-dev-clean,within,within,cosine,0.02,0.0111241517588496
hubert_ctc100h,12,phoneme-dev-other,across,any,cosine,0.02,0.0447970256209373
hubert_ctc100h,12,phoneme-dev-other,across,within,cosine,0.02,0.0420416221022605
hubert_ctc100h,12,phoneme-dev-other,within,any,cosine,0.02,0.042040754109621
hubert_ctc100h,12,phoneme-dev-other,within,within,cosine,0.02,0.0280858520418405
hubert_ctc100h,12,triphone-dev-clean,across,within,cosine,0.02,0.0245817489922046
hubert_ctc100h,12,triphone-dev-clean,within,within,cosine,0.02,0.0205510016530752
hubert_ctc100h,12,triphone-dev-other,across,within,cosine,0.02,0.0420614965260028
hubert_ctc100h,12,triphone-dev-other,within,within,cosine,0.02,0.0300745014101266
hubert_ctc100h,13,phoneme-dev-clean,across,any,cosine,0.02,0.0879148617386818
hubert_ctc100h,13,phoneme-dev-clean,across,within,cosine,0.02,0.0515832863748073
hubert_ctc100h,13,phoneme-dev-clean,within,any,cosine,0.02,0.0856814235448837
hubert_ctc100h,13,phoneme-dev-clean,within,within,cosine,0.02,0.0411846488714218
hubert_ctc100h,13,phoneme-dev-other,across,any,cosine,0.02,0.1114436686038971
hubert_ctc100h,13,phoneme-dev-other,across,within,cosine,0.02,0.0893279612064361
hubert_ctc100h,13,phoneme-dev-other,within,any,cosine,0.02,0.1048549190163612
hubert_ctc100h,13,phoneme-dev-other,within,within,cosine,0.02,0.069516509771347
hubert_ctc100h,13,triphone-dev-clean,across,within,cosine,0.02,0.0494802594184875
hubert_ctc100h,13,triphone-dev-clean,within,within,cosine,0.02,0.0410587377846241
hubert_ctc100h,13,triphone-dev-other,across,within,cosine,0.02,0.0725186020135879
hubert_ctc100h,13,triphone-dev-other,within,within,cosine,0.02,0.0548410825431346
hubert_ctc10h,1,phoneme-dev-clean,across,any,cosine,0.02,0.1339412182569503
hubert_ctc10h,1,phoneme-dev-clean,across,within,cosine,0.02,0.0597879439592361
hubert_ctc10h,1,phoneme-dev-clean,within,any,cosine,0.02,0.1150814071297645
hubert_ctc10h,1,phoneme-dev-clean,within,within,cosine,0.02,0.03739545494318
hubert_ctc10h,1,phoneme-dev-other,across,any,cosine,0.02,0.1752008199691772
hubert_ctc10h,1,phoneme-dev-other,across,within,cosine,0.02,0.11200001090765
hubert_ctc10h,1,phoneme-dev-other,within,any,cosine,0.02,0.1432731598615646
hubert_ctc10h,1,phoneme-dev-other,within,within,cosine,0.02,0.0598659366369247
hubert_ctc10h,1,triphone-dev-clean,across,within,cosine,0.02,0.100039541721344
hubert_ctc10h,1,triphone-dev-clean,within,within,cosine,0.02,0.065385028719902
hubert_ctc10h,1,triphone-dev-other,across,within,cosine,0.02,0.1519037038087844
hubert_ctc10h,1,triphone-dev-other,within,within,cosine,0.02,0.085329882800579
hubert_ctc10h,2,phoneme-dev-clean,across,any,cosine,0.02,0.1219883561134338
hubert_ctc10h,2,phoneme-dev-clean,across,within,cosine,0.02,0.0507993958890438
hubert_ctc10h,2,phoneme-dev-clean,within,any,cosine,0.02,0.1084467843174934
hubert_ctc10h,2,phoneme-dev-clean,within,within,cosine,0.02,0.0340296365320682
hubert_ctc10h,2,phoneme-dev-other,across,any,cosine,0.02,0.1614414602518081
hubert_ctc10h,2,phoneme-dev-other,across,within,cosine,0.02,0.0989195331931114
hubert_ctc10h,2,phoneme-dev-other,within,any,cosine,0.02,0.135690838098526
hubert_ctc10h,2,phoneme-dev-other,within,within,cosine,0.02,0.0559286475181579
hubert_ctc10h,2,triphone-dev-clean,across,within,cosine,0.02,0.0883416533470153
hubert_ctc10h,2,triphone-dev-clean,within,within,cosine,0.02,0.0612537562847137
